epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,238.371,0.37351,0.8041,0.90372,0.94619,1,0.995,0.96183,0.36356,1.079,0.87419,0.000268441,0.000268441,0.000268441
63,242.88,0.39541,0.66571,1.00079,0.94619,1,0.995,0.96183,0.36356,1.079,0.87419,0.000266022,0.000266022,0.000266022
64,247.222,0.35128,0.63319,0.95892,0.94619,1,0.995,0.96183,0.36356,1.079,0.87419,0.000263384,0.000263384,0.000263384
65,252.004,0.32631,0.65761,0.9155,0.95228,1,0.995,0.96183,0.34814,0.96495,0.88411,0.000260525,0.000260525,0.000260525
66,256.721,0.34754,0.5402,0.92414,0.95228,1,0.995,0.96183,0.34814,0.96495,0.88411,0.000257446,0.000257446,0.000257446
67,261.929,0.36951,0.60959,0.95466,0.95228,1,0.995,0.96183,0.34814,0.96495,0.88411,0.000254148,0.000254148,0.000254148
68,465.825,0.32492,0.61526,0.91354,0.95228,1,0.995,0.96183,0.34814,0.96495,0.88411,0.000250629,0.000250629,0.000250629
69,469.264,0.38579,0.68856,0.97164,0.95228,1,0.995,0.96183,0.34814,0.96495,0.88411,0.000246891,0.000246891,0.000246891
70,472.303,0.44329,0.62551,0.94173,0.95228,1,0.995,0.96183,0.34814,0.96495,0.88411,0.000242932,0.000242932,0.000242932
71,488.18,0.33505,0.57219,0.90518,0.94049,1,0.995,0.92867,0.47145,0.94687,0.96194,0.000238754,0.000238754,0.000238754
72,491.169,0.29176,0.5287,0.891,0.94049,1,0.995,0.92867,0.47145,0.94687,0.96194,0.000234355,0.000234355,0.000234355
73,698.68,0.3806,0.78981,0.98516,0.94049,1,0.995,0.92867,0.47145,0.94687,0.96194,0.000229737,0.000229737,0.000229737
74,701.599,0.34825,0.54755,0.89771,0.94049,1,0.995,0.92867,0.47145,0.94687,0.96194,0.000224899,0.000224899,0.000224899
75,704.731,0.27995,0.56257,0.88195,0.94049,1,0.995,0.92867,0.47145,0.94687,0.96194,0.00021984,0.00021984,0.00021984
76,709.087,0.28377,0.7921,0.93751,0.94049,1,0.995,0.92867,0.47145,0.94687,0.96194,0.000214562,0.000214562,0.000214562
77,712.9,0.37039,0.78382,0.94071,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.000209064,0.000209064,0.000209064
78,724.443,0.31015,0.71153,0.92872,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.000203345,0.000203345,0.000203345
79,735.558,0.29964,0.52661,0.89904,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.000197407,0.000197407,0.000197407
80,739.752,0.27734,0.51253,0.86955,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.000191249,0.000191249,0.000191249
81,744.088,0.30778,0.62102,0.94542,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.00018487,0.00018487,0.00018487
82,749.735,0.36494,0.61717,0.93397,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.000178272,0.000178272,0.000178272
83,753.348,0.3957,0.5259,0.89677,0.89418,1,0.995,0.8955,0.50345,0.8685,1.03479,0.000171454,0.000171454,0.000171454
84,759.929,0.3996,0.77096,0.97736,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000164416,0.000164416,0.000164416
85,763.897,0.3598,0.63968,0.93247,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000157158,0.000157158,0.000157158
86,766.832,0.35211,0.62909,0.91898,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000149679,0.000149679,0.000149679
87,776.727,0.27238,0.55885,0.94588,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000141981,0.000141981,0.000141981
88,875.536,0.30681,0.52315,0.91037,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000134063,0.000134063,0.000134063
89,878.386,0.34636,0.53503,0.94269,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000125925,0.000125925,0.000125925
